CLAVE_MUN,MUNICIPIO_RES,LATITUD,LONGITUD
1,Apozol,21.47028,-103.09083
2,Apulco,21.96667,-102.88333
3,Atolinga,21.80882,-103.46520
5,Calera,22.95015,-102.71001
6,Canitas de Felipe Pescador,23.55297,-102.86588
9,Chalchihuites,23.47583,-103.88099
7,Concepcion del Oro,24.52795,-101.33654
8,Cuauhtemoc,22.448615,-102.365560
15,El Plateado de Joaquin Amaro,22.09457,-103.03179
41,El Salvador,24.52098,-100.86750
4,Florencia de Benito Juarez,23.863488,-103.389905
10,Fresnillo,23.36498,-103.07256
12,Genaro Codina,22.49017,-102.45536
13,General Enrique Estrada,22.99712,-102.74155
14,General Francisco R Murguia,24.26892,-103.03855
16,General Panfilo Natera,22.63333,-101.96667
17,Guadalupe,22.756225,-102.512122
18,Huanusco,21.77457,-102.9731
19,Jalpa,21.71285,-103.00964
20,Jerez,22.79230,-103.16917
21,Jimenez del Teul,23.24563,-103.76398
22,Juan Aldama,24.18105,-103.25185
23,Juchipila,21.93059,-102.89990
24,Loreto,22.271606,-101.989704
25,Luis Moya,22.50309,-102.28044
26,Mazapil,24.81552,-102.27638
27,Melchor Ocampo,23.144735,-103.155835
28,Mezquital Del Oro,21.21465,-103.36154
29,Miguel Auza,24.23763,-103.55577
30,Momax,23.66667,-101.95000
31,Monte Escobedo,22.62475,-103.41403
32,Morelos,22.862074,-102.613875
33,Moyahua de Estrada,21.19200,-103.17442
34,Nochistlan de Mejia,21.36504,-102.84698
35,Noria de angeles,22.38143,-102.05605
36,Ojocaliente,22.43298,-102.15542
37,Panuco,22.876242,-102.541324
38,Pinos,22.29728,-101.57472
39,Rio Grande,23.85552,-103.12491
40,Sain Alto,23.63066,-103.20256
58,Santa Maria de la Paz,21.50631,-103.37306
42,Sombrerete,23.63572,-103.58248
43,Susticacan,22.61348,-103.12518
44,Tabasco,21.86052,-102.91437
45,Tepechitlan,22.40000,-103.20000
46,Tepetongo,22.46226,-103.14660
47,Teul de Gonzalez Ortega,21.41132,-103.28707
48,Tlaltenango de Sanchez Roman,21.78019,-103.30232
57,Trancoso,22.81725,-102.22625
11,Trinidad Garcia de la Cadena,21.86667,-102.91667
49,Valparaiso,22.82121,-103.36187
50,Vetagrande,22.83402,-102.55588
51,Villa de Cos,23.78415,-102.16255
52,Villa Garcia,22.10663,-101.92230
53,Villa Gonzalez Ortega,22.56775,-102.00278
54,Villa Hidalgo,22.511387,-101.914706
55,Villanueva,22.13333,-103.01667
56,Zacatecas,22.77093,-102.58325
